GeneID	Mock.1	Mock.2	Mock.3	RSV.1	RSV.2	RSV.3	Mock.4	P1	P2	P3	P4
UNC5B	4846	4816	1739	8588	6081	3839	1195	1927	10180	1580	1219
UNC5B-AS1	271	218	100	295	213	138	87	105	1205	107	119
UNC5C	202	274	288	403	227	144	421	7	11	8	5
UNC5CL	65	65	47	141	71	51	82	29	18	27	6
UNC5D	5	4	2	0	5	3	0	4	39	4	0
UNC79	60	74	72	76	27	11	73	7	15	7	5
UNC80	7	0	0	6	5	0	3	28	1	38	11
UNC93A	2	0	0	1	0	0	0	0	0	0	0
UNC93B1	3450	4278	2671	6380	3162	2283	1949	1907	1002	1111	331
UNCX	0	0	0	0	0	0	0	0	0	0	0
UNG	217	184	181	273	190	111	112	1491	152	1029	498
UNK	849	847	717	1150	627	445	696	662	516	849	306
UNKL	467	521	391	755	444	282	392	475	451	528	169
UNQ6494	0	4	0	0	0	0	0	0	0	0	0
UOX	1	1	0	1	0	1	2	0	0	0	0
UPB1	2	1	0	2	3	0	0	0	0	0	0
UPF1	5643	5687	4119	7659	4725	2786	3100	7041	6763	6503	2462
UPF2	1335	1141	898	1908	1252	741	1039	1633	2042	1595	711
UPF3A	823	716	611	808	445	252	576	1405	1323	1460	751
UPF3B	261	205	226	292	210	118	325	562	717	725	264
UPK1A	1	4	0	0	0	0	0	1	0	4	6
UPK1A-AS1	0	0	1	2	0	0	0	0	0	1	0
UPK1B	2766	2815	822	3916	1956	1531	679	801	59	232	417
UPK2	3	4	1	3	3	0	2	11	10	9	10
UPK3A	2	0	0	0	0	2	0	0	0	0	0
UPK3B	40	91	64	115	61	37	73	27	12	29	68
UPK3BL	1	0	2	0	1	2	4	13	17	20	74
UPP1	68	104	44	319	363	152	40	13573	144510	4761	4234
UPP2	21	31	19	24	26	4	40	1	0	0	0
UPRT	311	328	236	432	288	147	234	251	101	266	112
UQCC1	608	549	416	914	549	343	494	991	559	1085	495
UQCC2	352	269	269	402	236	145	245	1039	1850	1225	643
UQCR10	414	339	299	578	460	215	265	1597	1133	1581	885
UQCR11	630	534	442	539	291	244	326	3162	2652	2937	1600
UQCRB	1036	662	751	914	617	300	752	3833	3943	3542	2416
UQCRBP1	23	23	20	32	19	6	40	10	5	2	4
UQCRC1	2762	2708	1528	3853	2447	1174	1223	8961	9085	8369	4314
UQCRC2	2377	2583	1389	3454	2589	1310	1439	4579	3836	4357	2722
UQCRFS1	991	1036	497	1664	1150	527	420	2928	1973	2090	1266
UQCRH	602	456	336	830	605	334	356	4957	4327	4457	2799
UQCRHL	21	11	14	25	11	13	7	220	157	151	124
UQCRQ	499	446	319	684	451	229	378	2047	1924	1873	1091
URAD	0	0	0	0	0	0	0	0	0	0	0
URAHP	158	190	104	190	115	39	170	15	13	19	7
URB1	3367	3914	2334	6090	3620	1887	2225	4096	2292	3165	1760
URB2	371	415	223	568	337	189	152	1032	401	634	245
URGCP	600	631	468	982	645	444	478	1466	1267	1245	616
URGCP-MRPS24	1	0	0	0	0	0	0	0	3	1	1
URI1	1140	1025	729	1266	885	487	622	2332	2824	1858	1039
URM1	469	418	310	786	390	280	268	1870	1479	1413	636
UROC1	6	16	9	3	5	3	9	0	0	0	0
UROD	324	274	224	419	232	130	194	3006	1518	2823	1124
UROS	268	334	280	450	273	169	288	1040	235	1034	569
USB1	448	396	328	636	441	239	293	2984	1654	3328	1512
USE1	104	62	59	92	60	34	66	387	242	306	192
USF1	772	584	456	1058	544	445	430	823	517	773	347
USF2	1016	748	772	1242	714	667	563	2839	2952	2368	1407
USH1C	92	91	52	132	56	25	66	1	0	0	0
USH1G	40	53	14	74	31	22	11	4	10	39	55
USH2A	40	45	43	50	25	8	61	0	2	5	0
USHBP1	1	3	1	3	2	0	1	1	1	0	0
USMG5	631	564	390	939	617	296	422	3256	3532	2783	1750
USO1	2398	2546	1341	3216	2581	1138	1433	2834	5611	2568	1613
USP1	1030	933	612	1257	855	482	585	2412	1400	2141	604
USP10	1824	1878	1251	2960	1936	971	1100	3318	2297	2897	1417
USP11	1906	2049	1260	2306	1344	716	1112	687	319	863	365
USP12	653	601	382	1113	753	360	349	1154	2006	964	474
